# x_value,depth,gradient
0.000000,-7.524000,-0.655056
1.000000,-8.032800,-0.605219
2.000000,-8.041600,-0.605219
3.000000,-6.050400,-0.502817
4.000000,-5.059200,-0.501328
5.000000,-5.068000,-0.560824
6.000000,-7.083400,-0.601195
7.000000,-4.098800,-0.535013
8.000000,-4.114200,-0.533611
9.000000,-4.129600,-0.559457
10.000000,-4.145000,-0.532503
11.000000,-4.633800,-0.941424
12.000000,-4.122600,-0.941424
13.000000,-4.111400,-1.026826
14.000000,-4.100200,-0.926096
15.000000,-4.089000,-0.793921
16.000000,-4.083200,-0.724798
17.000000,-4.077400,-0.752933
18.000000,-4.071600,-0.845485
19.000000,-4.065800,-0.845485
20.000000,-4.060000,-0.606481
21.000000,-3.556800,-0.531388
22.000000,-4.553600,-0.583898
23.000000,-4.050400,-0.526701
24.000000,-4.047200,-0.529719
25.000000,-4.044000,-0.549482
26.000000,-4.507800,-0.798673
27.000000,-4.471600,-0.798673
28.000000,-3.935400,-0.712970
29.000000,-4.399200,-0.758469
30.000000,-29.363000,-0.546154
31.000000,-5.840000,-0.714700
32.000000,-5.817000,-0.692915
33.000000,-6.294000,-0.692915
34.000000,-6.771000,-0.661892
35.000000,-29.748000,-0.546154
36.000000,-5.205600,-0.549840
37.000000,-9.163200,-0.520317
38.000000,-8.620800,-0.520317
39.000000,-8.578400,-0.520317
40.000000,-8.536000,-0.520317
41.000000,-8.530400,-0.647389
42.000000,-8.024800,-0.552455
43.000000,-8.019200,-0.553375
44.000000,-8.013600,-0.553375
45.000000,-7.508000,-0.569104
46.000000,-30.980600,-0.825367
47.000000,-30.953200,-0.825367
48.000000,-5.425800,-0.531214
49.000000,-9.398400,-0.599038
50.000000,-3.871000,-0.588853
51.000000,-3.897600,-0.676026
52.000000,-3.924200,-0.676026
53.000000,-3.450800,-0.725385
54.000000,-3.477400,-0.700922
55.000000,-3.504000,-0.628658
56.000000,-4.006200,-0.716123
57.000000,-32.508400,-0.768855
58.000000,-5.510600,-0.726783
59.000000,-5.512800,-0.734255
60.000000,-33.515000,-0.768855
61.000000,-4.052800,-0.691606
62.000000,-34.090600,-0.768855
63.000000,-5.628400,-0.716183
64.000000,-5.666200,-0.728608
65.000000,-5.204000,-0.630304
66.000000,-5.275000,-0.630304
67.000000,-5.346000,-0.660297
68.000000,-4.417000,-0.670335
69.000000,-3.988000,-0.681340
70.000000,-4.059000,-0.687208
71.000000,-4.566000,-0.718465
72.000000,-4.573000,-0.720570
73.000000,-5.080000,-0.529816
74.000000,-5.587000,-0.738620
75.000000,-5.594000,-0.608392
76.000000,-6.194800,-0.608392
77.000000,-6.295600,-0.741586
78.000000,-20.396400,-0.616308
79.000000,-4.497200,-0.534028
80.000000,-4.598000,-0.523426
81.000000,-4.590600,-0.557794
82.000000,-4.583200,-0.511381
83.000000,-4.075800,-0.522341
84.000000,-4.068400,-0.512702
85.000000,-6.561000,-0.689146
86.000000,-5.095800,-0.532141
87.000000,-4.130600,-0.648639
88.000000,-4.165400,-0.637890
89.000000,-4.700200,-1.160604
90.000000,-4.735000,-1.199551
91.000000,-4.676000,-1.144244
92.000000,-4.617000,-1.460018
93.000000,-4.558000,-1.327696
94.000000,-4.499000,-1.275800
95.000000,-4.440000,-1.209819
96.000000,-3.939400,-1.062237
97.000000,-3.938800,-1.084391
98.000000,-4.438200,-1.554880
99.000000,-4.937600,-2.976176
100.000000,-4.437000,-2.157328
101.000000,-4.404200,-1.630691
102.000000,-4.371400,-1.629344
103.000000,-4.338600,-1.916437
104.000000,-4.805800,-1.873845
105.000000,-4.773000,-1.976548
106.000000,-4.459000,-0.748166
107.000000,-2.645000,-3.315767
108.000000,-2.831000,-1.657884
109.000000,-3.017000,-3.355669
110.000000,-2.703000,-2.179329
111.000000,-2.380400,-0.982831
112.000000,-1.557800,-1.108271
113.000000,-1.735200,-2.355501
114.000000,-1.412600,-2.435437
115.000000,-1.590000,-2.255299
116.000000,-1.394900,-1.039459
117.000000,-1.199800,-0.805449
118.000000,-4.504700,-1.354830
119.000000,-1.309600,-0.512463
120.000000,-1.114500,-0.512463
121.000000,-1.396580,-0.512463
122.000000,-6.178660,-3.500266
123.000000,-6.460740,-3.500266
124.000000,-6.742820,-3.400851
125.000000,-6.524900,-2.995337
126.000000,-6.164800,-2.995337
127.000000,2.195300,-1.114826
128.000000,4.055400,-0.754277
129.000000,4.915500,-1.172704
130.000000,4.775600,-1.916351
131.000000,4.717980,-1.916351
132.000000,7.160360,-2.389193
133.000000,7.602740,-0.549027
134.000000,6.045120,-0.671286
135.000000,3.487500,-0.934300
136.000000,4.022520,-0.934300
137.000000,4.057540,-0.814203
138.000000,6.592560,-0.647513
139.000000,8.627580,-0.719976
140.000000,8.162600,-1.838931
141.000000,8.186080,-1.882904
142.000000,7.709560,-1.148179
143.000000,7.733040,-1.966043
144.000000,7.756520,-1.679279
145.000000,7.780000,-1.310873
146.000000,7.780000,-1.375258
147.000000,7.780000,-1.851115
148.000000,7.280000,-2.794604
149.000000,7.280000,-2.647811
150.000000,7.280000,-2.647811
151.000000,7.280000,-2.886159
152.000000,7.780000,-1.081604
153.000000,8.280000,-0.871729
154.000000,8.780000,-0.732133
155.000000,8.280000,-1.042116
156.000000,8.280000,-1.987969
157.000000,7.780000,-1.952764
158.000000,8.780000,-0.918365
159.000000,7.780000,-2.025378
160.000000,7.780000,-1.696131
161.000000,7.780000,-2.118386
162.000000,7.780000,-2.102870
163.000000,7.280000,-1.993035
164.000000,6.780000,-1.394506
165.000000,6.280000,-1.394506
166.000000,7.780000,-0.604431
167.000000,7.780000,-1.417029
168.000000,8.280000,-1.798872
169.000000,8.280000,-0.728044
170.000000,7.780000,-1.254570
171.000000,7.780000,-1.285607
172.000000,8.280000,-1.839694
173.000000,8.280000,-1.897894
174.000000,8.280000,-1.069950
175.000000,8.280000,-1.268761
176.000000,8.280000,-1.708260
177.000000,8.280000,-2.409076
178.000000,8.780000,-1.301708
179.000000,7.780000,-2.612007
180.000000,7.780000,-2.043485
181.000000,7.780000,-2.043485
182.000000,7.780000,-2.450797
183.000000,7.780000,-1.818305
184.000000,7.780000,-2.052558
185.000000,7.280000,-1.869506
186.000000,7.280000,-1.869506
187.000000,7.780000,-1.279913
188.000000,7.780000,-1.475423
189.000000,7.780000,-1.264582
190.000000,7.780000,-0.634259
191.000000,5.280000,-1.797723
192.000000,7.780000,-0.878283
193.000000,8.280000,-0.797895
194.000000,7.780000,-0.524187
195.000000,7.280000,-1.413092
